Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Temperature
1008,-346,16804,60,24,39,243
980,-330,16822,64,18,41,243
1014,-358,16774,58,18,44,243
992,-372,16742,67,21,39,243
964,-342,16808,66,25,47,243
994,-346,16798,69,26,34,243
1006,-350,16778,60,24,42,243
992,-362,16792,64,28,35,243
976,-344,16820,61,25,41,243
964,-366,16802,70,28,35,243
998,-366,16756,64,28,31,243
1010,-336,16774,64,26,41,243
1006,-334,16796,56,20,42,243
980,-330,16808,59,22,35,243
992,-354,16778,69,21,35,243
992,-352,16796,66,25,42,243
978,-360,16798,60,25,32,243
978,-358,16806,60,12,40,243
994,-372,16774,60,26,32,243
984,-362,16768,66,32,43,243
962,-360,16808,54,32,36,243
996,-364,16784,67,25,40,243
984,-344,16762,67,29,31,243
982,-372,16790,66,13,40,243
974,-344,16798,62,22,44,243
962,-342,16796,57,27,31,243
1014,-350,16748,61,34,32,243
984,-372,16770,60,30,29,243
990,-350,16804,62,32,35,243
984,-366,16770,60,23,33,243
982,-336,16784,67,24,33,243
984,-368,16800,65,30,30,243
1010,-384,16818,56,33,41,243
996,-346,16802,69,25,36,243
970,-354,16760,61,23,42,243
964,-344,16796,60,16,29,243
992,-340,16788,59,24,34,243
990,-350,16830,65,32,38,243
976,-330,16784,57,30,49,243
1000,-352,16768,67,31,29,243
988,-366,16810,55,31,39,243
990,-328,16806,59,30,32,243
1004,-368,16776,64,25,40,243
964,-332,16766,69,19,35,243
1006,-366,16816,67,14,44,243
1034,-344,16788,56,19,38,243
974,-330,16770,57,26,49,243
986,-354,16766,67,26,34,243
992,-358,16800,64,29,43,243
964,-358,16808,63,27,31,243
1000,-366,16764,59,33,28,243
1000,-364,16764,67,30,35,243
984,-340,16812,57,28,39,243
972,-354,16788,62,17,38,243
990,-348,16764,60,17,39,243
960,-336,16784,63,15,38,243
982,-336,16780,60,20,35,243
994,-358,16812,62,25,45,243
978,-370,16778,60,25,39,243
970,-338,16776,77,24,37,243
1000,-358,16806,67,19,19,243
976,-350,16800,61,25,39,243
978,-356,16756,60,33,34,243
988,-354,16786,69,34,45,243
1000,-372,16786,71,23,29,243
970,-358,16810,65,23,37,243
1006,-344,16764,62,23,41,243
982,-372,16778,64,31,39,243
984,-336,16814,70,31,36,243
980,-316,16774,54,25,46,243
980,-372,16770,61,25,38,243
1012,-346,16758,61,28,36,243
992,-366,16802,73,39,39,243
978,-340,16814,54,25,32,243
998,-348,16766,62,17,30,243
992,-344,16774,60,25,40,243
964,-336,16796,64,25,36,243
986,-338,16814,53,21,42,243
976,-336,16770,57,26,42,243
980,-360,16792,60,30,35,243
1000,-334,16800,57,29,40,243
