-452,-244,16806,61,35,39,245
-452,-222,16804,62,34,37,245
-466,-244,16792,67,39,34,245
-476,-234,16814,43,30,38,245
-444,-218,16802,61,23,28,245
-480,-216,16806,49,25,38,245
-462,-224,16822,46,27,41,245
-434,-232,16788,56,35,34,245
-452,-222,16794,52,21,33,245
-468,-244,16802,62,32,30,245
-464,-206,16820,57,17,29,245
-450,-228,16816,51,22,32,245
-476,-230,16808,55,20,44,245
-436,-224,16816,69,35,41,245
-448,-232,16818,64,31,39,245
-452,-228,16800,57,25,39,245
-458,-196,16802,52,22,41,245
-468,-224,16820,56,25,35,245
-486,-194,16814,51,31,35,245
-456,-234,16788,53,31,43,245
-458,-248,16784,52,28,35,245
-486,-222,16834,55,23,34,245
-422,-234,16838,53,13,35,245
-444,-212,16786,57,28,39,245
-452,-194,16794,57,31,35,245
-452,-222,16778,57,25,27,245
-442,-238,16826,60,31,39,245
-468,-216,16812,50,24,30,245
-436,-218,16778,60,30,37,245
-436,-236,16800,52,25,38,245
-458,-222,16844,58,32,31,245
-454,-212,16816,71,39,41,245
-440,-244,16776,56,31,39,245
-450,-214,16784,52,28,32,245
-460,-236,16834,48,25,36,245
-440,-220,16806,56,31,45,245
-456,-218,16800,43,27,38,245
-440,-236,16814,55,26,50,245
-456,-236,16814,55,24,38,245
-482,-206,16804,49,28,45,245
-466,-228,16822,46,11,37,245
-436,-242,16806,53,22,39,245
-434,-222,16824,58,24,26,245
-410,-240,16802,50,32,45,245
-464,-246,16790,53,35,46,245
-478,-232,16804,55,28,42,245
-458,-220,16842,56,21,26,245
-444,-244,16820,50,32,36,245
-444,-230,16800,53,20,49,245
-460,-222,16842,58,35,48,245
-474,-222,16822,53,29,42,245
-432,-210,16802,54,22,44,245
-442,-218,16808,60,25,28,245
-450,-236,16834,54,25,37,245
-458,-216,16810,60,26,39,245
-452,-222,16824,63,33,43,245
-430,-234,16788,67,35,34,245
-450,-230,16810,53,19,29,245
-450,-222,16824,51,23,36,245
-466,-224,16818,51,24,39,245
-456,-216,16814,59,28,34,245
-442,-242,16840,49,24,34,245
-448,-216,16850,53,25,34,245
-438,-240,16820,53,22,43,245
-444,-224,16840,55,27,41,245
-464,-214,16844,56,32,39,245
-472,-222,16864,50,27,39,245
-466,-242,16822,53,27,36,245
-458,-224,16814,59,33,40,245
-446,-236,16836,59,26,35,245
-450,-216,16850,57,27,35,245
-458,-232,16834,53,19,34,245
-454,-230,16810,52,32,36,245
-472,-248,16864,57,26,35,245
-448,-216,16842,57,33,24,245

-464,-236,16844,58,19,40,245
-452,-214,16792,56,25,27,245
-480,-232,16832,58,30,32,245
-456,-236,16840,57,27,34,245
-480,-232,16818,56,28,41,245
-438,-222,16800,60,32,33,245
-458,-204,16810,58,34,25,245
-502,-232,16834,56,22,39,245
-458,-234,16802,52,23,35,245
-458,-230,16816,62,25,38,245
-486,-202,16814,55,28,35,245
-458,-222,16828,67,32,39,245
-448,-230,16780,61,29,37,245
-432,-220,16808,59,34,46,245
-474,-226,16842,57,26,48,245
-466,-236,16834,46,32,36,245
-456,-230,16832,61,21,39,245
-444,-224,16800,53,32,35,245
-466,-220,16806,55,28,36,245
-444,-222,16832,49,32,28,245
-444,-200,16796,64,25,28,245
-462,-244,16792,48,24,28,245
-458,-230,16818,62,28,42,245
-466,-226,16840,57,28,46,245
-446,-234,16810,60,35,35,245
-458,-262,16792,54,32,51,245
-444,-232,16802,54,25,33,245
-474,-222,16862,60,24,39,245
-472,-230,16802,53,28,50,245
-460,-240,16804,54,25,34,245
-468,-232,16816,55,26,40,245
-474,-220,16844,56,35,42,245
-478,-222,16844,55,35,41,245
-450,-240,16802,53,24,36,245
-410,-238,16852,48,21,36,245
-442,-222,16820,54,27,36,245
-476,-216,16828,60,24,41,245
-458,-236,16842,58,28,30,245
-476,-222,16816,50,25,28,245
-454,-248,16832,54,21,46,245
-468,-248,16814,65,27,33,245
-462,-226,16816,51,23,39,245
-454,-224,16796,54,19,39,245
-446,-218,16834,60,22,35,245
-474,-218,16810,57,22,37,245
-430,-256,16802,57,23,40,245
-444,-236,16820,59,34,41,245
-442,-222,16824,54,30,41,245
-458,-232,16830,64,28,48,245
-456,-234,16806,53,26,40,245
-478,-198,16824,55,24,37,245
-476,-238,16830,53,21,33,245
-472,-204,16822,64,28,39,245
-450,-226,16790,61,33,39,245
-454,-208,16830,59,26,43,245
-444,-238,16810,55,33,40,245
-452,-216,16834,58,27,32,245
-458,-220,16810,50,28,32,245
-432,-216,16820,50,32,45,245
-458,-232,16850,64,33,40,245
-440,-222,16820,46,35,47,245
-430,-240,16800,60,24,36,245
-470,-194,16848,56,23,28,245
-452,-230,16802,53,22,42,245
-440,-228,16788,54,32,47,245
-460,-244,16790,47,32,50,245
-432,-228,16828,64,21,44,245
-476,-240,16810,53,25,42,245
-468,-234,16802,54,37,30,245
-472,-212,16814,55,30,40,245
-444,-222,16814,50,19,37,245
-470,-232,16820,57,29,41,245
-468,-258,16810,54,27,31,245
-448,-238,16794,60,23,41,245
-444,-224,16820,60,32,37,245
-468,-230,16840,63,28,46,245
-478,-246,16834,62,20,45,245
-450,-230,16800,60,19,47,245
-448,-228,16842,60,32,36,245
-452,-244,16828,64,28,40,245
-472,-206,16808,62,22,39,245
-460,-230,16804,58,25,36,245
-472,-220,16834,56,31,39,245
-450,-228,16832,50,33,42,245
-466,-218,16812,55,28,42,245
-430,-218,16798,59,25,36,245
-456,-214,16814,66,29,36,245
-456,-228,16828,61,28,39,245
-480,-240,16816,59,28,38,245
-456,-236,16820,51,21,41,245
-442,-226,16842,60,35,46,245
-474,-206,16834,56,26,36,245
-468,-216,16834,57,32,45,245
-462,-230,16828,53,30,38,245
-418,-208,16828,51,35,44,245
-436,-222,16834,53,23,40,245
-444,-254,16834,54,31,41,245
-468,-216,16810,55,36,39,245
-472,-202,16834,50,35,46,245
-466,-224,16828,59,29,32,245
-450,-226,16834,62,29,36,245
-486,-234,16812,60,25,38,245
-472,-210,16850,60,31,42,245
-436,-222,16818,55,25,36,245
-456,-230,16836,59,23,39,245
-472,-192,16828,59,25,43,245
-444,-208,16816,57,18,36,245
-462,-244,16834,53,25,33,245
-458,-256,16792,50,32,32,245
-436,-214,16798,56,32,42,245
-448,-248,16820,57,30,46,245
-436,-202,16814,50,35,39,245
-476,-230,16798,59,26,35,245
-482,-236,16816,52,27,35,245
-472,-202,16826,57,28,39,245
-444,-210,16850,50,28,25,245
-480,-230,16798,57,28,35,245
-440,-238,16816,57,25,44,245
-462,-236,16810,40,28,26,245
-476,-212,16820,57,26,38,245
-454,-248,16814,64,29,42,245
-468,-256,16816,52,26,44,245
-454,-210,16818,57,17,35,245
-462,-242,16806,60,27,41,245
-474,-236,16814,62,29,45,245
-460,-228,16828,59,31,28,245
-474,-212,16804,56,32,37,245
-466,-250,16840,60,29,27,245
-458,-192,16806,55,24,27,245
-464,-242,16788,65,27,37,245
-440,-224,16834,50,24,35,245
-440,-236,16830,65,17,39,245
-464,-216,16832,72,25,46,245
-446,-222,16794,57,17,42,245
-448,-236,16830,49,24,39,245
-454,-220,16814,58,16,25,245
